time="2022-03-11T13:33:45+03:00" level=fatal msg="connection to DB fail" func="main.main()" file="main.go, %!s(int=31)"
time="2022-03-11T14:19:23+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=42)"
time="2022-03-11T16:22:42+03:00" level=info msg="starting on :" func="github.com/iamkirillnb/rus_law/internal/handlers.(*LawHandler).Start()" file="law_data.go, %!s(int=47)"
time="2022-03-11T16:22:42+03:00" level=info msg="started on :" func="github.com/iamkirillnb/rus_law/internal/handlers.(*LawHandler).Start()" file="law_data.go, %!s(int=55)"
time="2022-03-14T19:36:07+03:00" level=fatal msg="connection to DB fail" func="main.main()" file="main.go, %!s(int=33)"
time="2022-03-14T19:39:37+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-14T19:40:23+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T17:49:25+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T17:49:52+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T23:29:20+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T23:29:32+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T23:31:10+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T23:31:58+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-15T23:32:02+03:00" level=fatal msg="get data from DB fail" func="main.main()" file="main.go, %!s(int=43)"
time="2022-03-16T15:15:30+03:00" level=fatal msg="listen tcp 127.0.0.1:8080: bind: address already in use" func="github.com/iamkirillnb/rus_law/internal/handlers.NewLawHandler()" file="law_data.go, %!s(int=52)"
time="2022-03-16T15:15:48+03:00" level=fatal msg="listen tcp 127.0.0.1:8080: bind: address already in use" func="github.com/iamkirillnb/rus_law/internal/handlers.NewLawHandler()" file="law_data.go, %!s(int=52)"
time="2022-03-16T15:16:14+03:00" level=fatal msg="listen tcp 127.0.0.1:8080: bind: address already in use" func="github.com/iamkirillnb/rus_law/internal/handlers.NewLawHandler()" file="law_data.go, %!s(int=52)"
time="2022-03-16T15:17:24+03:00" level=fatal msg="listen tcp 127.0.0.1:80: bind: permission denied" func="github.com/iamkirillnb/rus_law/internal/handlers.NewLawHandler()" file="law_data.go, %!s(int=52)"
time="2022-03-16T15:50:41+03:00" level=info msg="starting on :8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=58)"
time="2022-03-16T15:50:41+03:00" level=info msg="started on :8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=66)"
time="2022-03-16T15:51:45+03:00" level=info msg="starting on 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=58)"
time="2022-03-16T15:51:45+03:00" level=info msg="started on 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=66)"
time="2022-03-16T15:51:50+03:00" level=info msg="starting on 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=58)"
time="2022-03-16T15:51:50+03:00" level=info msg="started on 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*ServerLaw).Start()" file="law_data.go, %!s(int=66)"
time="2022-03-17T12:21:51+03:00" level=info msg="starting on 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=64)"
time="2022-03-17T12:21:51+03:00" level=info msg="server is listening address: 0.0.0.0:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=70)"
time="2022-03-17T12:22:36+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=64)"
time="2022-03-17T12:22:36+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=70)"
time="2022-03-17T12:30:11+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=64)"
time="2022-03-17T12:30:11+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=70)"
time="2022-03-17T12:30:53+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=64)"
time="2022-03-17T12:30:53+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=70)"
time="2022-03-17T12:35:19+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=65)"
time="2022-03-17T12:35:19+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=71)"
time="2022-03-17T12:35:44+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=65)"
time="2022-03-17T12:35:44+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=71)"
time="2022-03-17T12:37:06+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=65)"
time="2022-03-17T12:37:06+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=71)"
time="2022-03-17T12:37:58+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=65)"
time="2022-03-17T12:37:58+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=71)"
time="2022-03-17T12:39:32+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=61)"
time="2022-03-17T12:39:32+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=67)"
time="2022-03-17T12:39:48+03:00" level=info msg="starting on localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=61)"
time="2022-03-17T12:39:48+03:00" level=info msg="server is listening address: localhost:8080" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).Start()" file="law_data.go, %!s(int=67)"
time="2022-03-17T14:58:29+03:00" level=fatal msg="bind data from context fail" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).PostFormData()" file="law_data.go, %!s(int=75)"
time="2022-03-17T15:16:19+03:00" level=fatal msg="bind data from context fail" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).PostFormData()" file="law_data.go, %!s(int=75)"
time="2022-03-17T16:09:22+03:00" level=fatal msg="validation struct fail" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).PostFormData()" file="law_data.go, %!s(int=80)"
time="2022-03-17T16:26:16+03:00" level=info msg="bad request 400" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).PostFormData()" file="law_data.go, %!s(int=81)"
time="2022-03-18T01:51:16+03:00" level=fatal msg="bind data from context fail" func="github.com/iamkirillnb/rus_law/internal/handlers.(*server).PostFormData()" file="law_data.go, %!s(int=83)"
